num,label,url
1,ransomware,unocl45trpuoefft.1v3bnu.top
2,ransomware,hjhqmbxyinislkkt.1cdqfv.top
3,ransomware,p27dokhpz2n7nvgr.1fu8p3.top
4,ransomware,p27dokhpz2n7nvgr.1hkjl3.top
5,ransomware,52uo5k3t73ypjije.ye42cp.bid
6,ransomware,chromebewfk.top
7,ransomware,wjtqjleommc4z46i.m33d4b.bid
8,ransomware,lrmficvqs.pw
9,ransomware,pmenboeqhyrpvomq.bnctf6.top
10,ransomware,p27dokhpz2n7nvgr.1aweql.top
11,ransomware,37kddsserrt.xyz
12,ransomware,52uo5k3t73ypjije.a0g0o7.bid
13,ransomware,4kqd3hmqgptupi3p.scoreable.bid
14,ransomware,unocl45trpuoefft.7tooul.bid
15,ransomware,ffoqr3ug7m726zou.rxmbsm.top
16,ransomware,p27dokhpz2n7nvgr.1a7wnt.top
17,ransomware,52uo5k3t73ypjije.c7ex9n.top
18,ransomware,barjhxoye.info
19,ransomware,52uo5k3t73ypjije.kwnw1b.bid
20,ransomware,ffoqr3ug7m726zou.wmvsh0.top
21,ransomware,ffoqr3ug7m726zou.rzvhne.top
22,ransomware,pmenboeqhyrpvomq.9nkxd3.top
23,ransomware,unocl45trpuoefft.0kousz.bid
24,ransomware,oqwygprskqv65j72.14jqyo.top
25,ransomware,wjtqjleommc4z46i.obx4vo.bid
26,ransomware,unocl45trpuoefft.jvrh8g.bid
27,ransomware,cerberhhyed5frqa.qor499.top
28,ransomware,pmenboeqhyrpvomq.viceled.pw
29,ransomware,52uo5k3t73ypjije.r4z3o5.bid
30,ransomware,4w5wihkwyhsav2ha.payfactor.at
31,ransomware,52uo5k3t73ypjije.o9w43w.bid
32,ransomware,hjhqmbxyinislkkt.1gxfxt.top
33,ransomware,4kqd3hmqgptupi3p.needmight.win
34,ransomware,4kqd3hmqgptupi3p.5b4ej6.bid
35,ransomware,unocl45trpuoefft.zbj2kc.bid
36,ransomware,egerdpkvutvodmtsy.pw
37,ransomware,lfdachijzuwx4bc4.e6cf2t.bid
38,ransomware,fyqtguo.biz
39,ransomware,52uo5k3t73ypjije.26lpul.bid
40,ransomware,p27dokhpz2n7nvgr.1a7ivn.top
41,ransomware,avsxrcoq2q5fgrw2.1nsnuh.top
42,ransomware,lfdachijzuwx4bc4.m7f27y.bid
43,ransomware,pe2cku7pebkpgeko.p93w1x.bid
44,ransomware,oqwygprskqv65j72.1j1x2b.top
45,ransomware,52uo5k3t73ypjije.8rxv74.bid
46,ransomware,avsxrcoq2q5fgrw2.j4cser.bid
47,ransomware,cerberhhyed5frqa.5kti58.win
48,ransomware,wjtqjleommc4z46i.z97f9v.bid
49,ransomware,unocl45trpuoefft.9bjnlk.bid
50,ransomware,pmenboeqhyrpvomq.7s0g3v.top
51,ransomware,unocl45trpuoefft.mbwxyg.bid
52,ransomware,ffoqr3ug7m726zou.ca15sj.top
53,ransomware,xpcx6erilkjced3j.1mfmkz.top
54,ransomware,hjhqmbxyinislkkt.1gvyo8.top
55,ransomware,stgg5jv6mqiibmax.torshop.li
56,ransomware,p27dokhpz2n7nvgr.1fqwek.top
57,ransomware,p27dokhpz2n7nvgr.1bvadx.top
58,ransomware,w6bfg4hahn5bfnlsafgchkvg5fwsfvrt.hareuna.at
59,ransomware,vrvis6ndra5jeggj.livegaming.ch
60,ransomware,52uo5k3t73ypjije.gnee6i.top
61,ransomware,tdhyjfxltpj.pw
62,ransomware,52uo5k3t73ypjije.js43vy.bid
63,ransomware,pe2cku7pebkpgeko.dj68hn.top
64,ransomware,52uo5k3t73ypjije.veupl2.top
65,ransomware,exnqhgk.xyz
66,ransomware,52uo5k3t73ypjije.m6j75a.bid
67,ransomware,52uo5k3t73ypjije.cm898n.bid
68,ransomware,euduudaehipk.pw
69,ransomware,4kqd3hmqgptupi3p.3lhjyx.top
70,ransomware,4kqd3hmqgptupi3p.lorrydo.lol
71,ransomware,unocl45trpuoefft.0evktl.top
72,ransomware,p27dokhpz2n7nvgr.1mfakx.top
73,ransomware,lcrdceiajmiar.org
74,ransomware,ffoqr3ug7m726zou.ptnbfm.top
75,ransomware,4kqd3hmqgptupi3p.3arvfd.top
76,ransomware,4kqd3hmqgptupi3p.selfcrash.site
77,ransomware,pmenboeqhyrpvomq.g0ots2.top
78,ransomware,www.dealkolld.top
79,ransomware,52uo5k3t73ypjije.z8ijgn.bid
80,ransomware,hjhqmbxyinislkkt.1eagrj.top
81,ransomware,27lelchgcvs2wpm7.bedrastic.bid
82,ransomware,52uo5k3t73ypjije.x9kjcn.bid
